
FEATURE_SHOW_GOOGLEKM_OF_LEGS,feature enable show gogle KM leg option,Default value is ENABLED,Enable this feature to refer google km(FOR TRIP LEG) in case of incomplete trips. System will use google km as GPS backfill during issue clearance.,,Enable this feature to refer google km(FOR TRIP LEG) in case of incomplete trips. System will use google km as GPS backfill during issue clearance.,,,,,,,,,,,,,,,,,,,,
FEATURE_USE_GOOGLE_DISTANCE_FOR_TRIP_KM,Feature enable use google distance trip KM option,Default value is ENABLED,Enable this feature to refer google km(FOR TRIP KM) in case of incomplete trips. System will use google km as GPS backfill during issue clearance.,,Enable this feature to refer google km(FOR TRIP KM) in case of incomplete trips. System will use google km as GPS backfill during issue clearance.,,,,,,,,,,,,,,,,,,,,
FEATURE_TRANSFER_DUTY,Feature enable transfer duty option,Default value is ENABLED,Feature to transfer a completed trip sheet/Duty to replacement/secondary vehicle(Incase of breakdown),,This Feature will Transfer the Duty/Trips to a replacement/back up vehicle in case of vehicle breakdown,,,,,,,,,,,,,,,,,,,,
BILLING_SEND_AUDIT_SMS_TO_DRIVER,Feature enable trip sheet audit SMS send to driver,Default value is DISABLED,SMS sent to driver when a particular trip sheet is audited(Changes/Approved/Auditedtrip detais),"SMS would be triggered to the Driver once a trip is audited by the billing team. If this is enabled, the property would be automatically enabled for every cab created, else this can be enabled manually when a cab is created.","SMS would be triggered to the Driver once a trip is audited(Approved/Changed) by the billing team( If this is enabled, the property would be automatically enabled for every cab created, else this can be enabled manually when a cab is created)",,,,,,,,,,,,,,,,,,,,
FEATURE_ZONE_BASED_BILLING_ENABLED,Feature enable billing zone option,Default value is DISABLED,Feature to introduce ZONE BASED billing for the customer(Please reach out to billing before enabling),"To be enabled as per Billing requirement, to be configured after confirmation from the billing team",This Feature will enable Zone based Billing Model,,,,,,,,,,,,,,,,,,,,
ONLY_ONE_TRIP_ALLOWED_PER_DUTY,Feature enable OTOD option based on client billing madule,Default value is DISABLED,Driver will be able to perform only a single trip per duty. Has to logout and login in case of multiple trips.,"Driver would be allowed to do only 1 Trip per Duty (OTOD - One Trip One Duty), this is mainly used in Trip/Slab based billing module","Driver would be allowed to do only 1 Trip per Duty (OTOD - One Trip One Duty), this is mainly used in Trip/Slab based billing module. Note: This needs to be managed on both ETS and device configuration page",,,,,,,,,,,,,,,,,,,,
NUM_DAYS_REPORT_OFF_ISSUE,Device or BYOD off issues report,Default value will be -7,The no of days in date range from current date to list the cabs with the issues (-ve indicates into the past),"This feature helps to identify the Report On/Off feature available on the Dashboard, the days are configurable as per client requirement, -(-ve) represents number of  days in past",,,,,,,,,,,,,,,,,,,,,
FEATURE_CALIBRATION_MANAGEMENT,,,,For backend team only,For backend team only,,,,,,,,,,,,,,,,,,,,
FIX_PARTIAL_GPS_LOSS,,,,This is used specially for KM Based billing where the Billing team can fix the GPS loss and provide the actual kms clocked by the driver,This is used specially for KM Based billing where the Billing team can fix the GPS loss and provide the actual kms clocked by the driver,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Compliance,,,,,,,,,,,,,,,,,,,,,,,,,
CITIES_WITH_MOVEINSYNC_OPERATIONS,Configure the Moveinsync opertions ares,All cities where MIS operates are available as default,List of cities where moveinsync is available(eg: applicable during creating a driver's profile and chosing the city),List of cities where moveinsync is available(eg: applicable during creating a driver's profile and chosing the city),List of cities where moveinsync is available. Note: applicable while creating a driver's profile and selecting the city,,,,,,,,,,,,,,,,,,,,
FEATURE_DRIVER_VEHICLE_ASSOCIATION_ENABLED,Feature enable driver cab association option,Default value is ENABLED,Link a driver to a cab,This property reflects the Driver details against the cabs in the Manage Cab section,If enabled this property reflects the Driver details against the cabs in the Manage Cab section,,,,,,,,,,,,,,,,,,,,
SHOW_MANAGE_DRIVER,Will enabling feature manage driver option,Default value is ENABLED,"Enabling this will display the ""Manage Driver"" option in ETS/vendor login)(Document uploads/Edits to driver profile)",,"If Disabled this will remove ""Manage Driver"" option from the Setting Dropdown List",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Dashboard,,,,,,,,,,,,,,,,,,,,,,,,,
FEATURE_DASHBOARD_CABS_DELAYED_IN_PICKUP_VISIBILITY,Will enabling featuere delayd cab tracking in the dashboard,,"Display ""Delayed Cabs"" link on Main dashboard",,"Display ""Delayed Cabs"" link on Tracking dashboard",,,,,,,,,,,,,,,,,,,,
FEATURE_INCOMPLETE_TRIPSHEET_ON_DASHBOARD,In the billind dashboard will enabling featuere incomplete trips details,,"Display ""incomplete trips"" link on billing dashboard",,"Display ""incomplete trips"" link on Billing Dashboard""",,,,,,,,,,,,,,,,,,,,
WOMEN_EMPLOYEE_SIGN_IN_ALERT_STOP_24_HOUR_FORMAT,Feature configure value of women employee sign in alert stop,,Dark hours stop duration- to be entered in hh:mm format(24 hours format),,Time Format to Stop the Alert,,,,,,,,,,,,,,,,,,,,
WOMAN_EMPLOYEE_SIGN_OFF_VERIFICATION,Will be enabling feature female drop verification,,Enable safe reach confirmation for female employees,,"This will enable ""OLD Drop Verification"" option on Tracking Dashboard",,,,,,,,,,,,,,,,,,,,
DRIVER_BEHAVIOUR_REPORT_OFF_TIME_SEC,Updating driver behaviour report off time value,,"Time in secs before trip start time, before which if duty reportin is not done, its flagged on the dashboard as Driver Report On/Off Issues
",,"Time in secs before trip start time, before which if duty reportin is not done, its flagged on the dashboard as Driver Report On/Off Issues
",,,,,,,,,,,,,,,,,,,,
DRIVER_BEHAVIOUR_REPORT_ON_TIME_SEC,Updating driver behaviour report on time value,,"Time in secs before trip start time, before which if duty reportin is not done, its flagged on the dashboard as Driver Report On/Off Issues
",,"Time in secs before trip start time, before which if duty reportin is not done, its flagged on the dashboard as Driver Report On/Off Issues
",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Data Sync,,,,,,,,,,,,,,,,,,,,,,,,,
SYNC_FILE_UPLOAD_SERVER_URL,Configure the data sync file upload server URL,,Property to mention the data upload server link(Client's HRMS),,https://datafeed.moveinsync.com/DataSyncDashboard/ (Default Data Upload Server for All the Sites),,,,,,,,,,,,,,,,,,,,
SYNC_FILE_DATA_UPLOAD,Feature enable data sync upload option,,Enable to activate dta upload option(Employee/Schedule/Escort etc.),"Enable to activate dta upload option(Employee/Schedule/Escort etc.), from the Site Admin > DataSync you can control which all fields should be visible to a particular role.","Enable to activate data upload option(Employee/Schedule/Escort etc.), from the Site Admin > DataSync you can control which all fields should be visible to a particular role.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Device,,,,,,,,,,,,,,,,,,,,,,,,,
FEATURE_AUTO_ASSIGN_CAB_ON_PROVISIONING,In the V page which ever provisioning devices are there auto will configured,,Automatic configuration of driver devices once the driver app is installed,Automatic configuration of driver devices once the driver app is installed and registered,It will Automatically configure Drive Device once the Driver app is installed. Note: Only for BYOD,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Email,,,,,,,,,,,,,,,,,,,,,,,,,
AUTO_PICKUP_DROP_EMAIL_BODY_SECONDCUTOFF,Pickup & drop email massage of scend cut off,,Cutoff timings for Automatic email- Pickup and Drop details,2 Cut-Offs can be configured in the Automatic E-mail configuration and separate texts can be configured to be triggered to the employees.,2 Cut-Offs can be configured in the Automatic E-mail configuration and separate texts can be configured to be triggered to the employees.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Login,,,,,,,,,,,,,,,,,,,,,,,,,
ADDRESS_CHANGE_SUBJECT,Request for Address change Subject,,Email Subject for address change request for employee,"If the client allows address change permission to employees, this would be the  Subject Line of the email to the respective email id's",Email Subject Line for Address Change Request for all the empployees,,,,,,,,,,,,,,,,,,,,
HIDE_REQUEST_ADDRESS_CHANGE_ENABLED,Hide reqest address change option,,Disable address change request for employee,,Disable address change request for employee,,,,,,,,,,,,,,,,,,,,
ADDRESS_CHANGE_CC,Address change email of CC,,CC email ID for address change requests,,CC email ID for address change requests,,,,,,,,,,,,,,,,,,,,
ADDRESS_CHANGE_RECIEPIENT,employee rasi the request of address change email will go to the transport team,,Primary email ID for address change requests,,Primary email ID for address change requests,,,,,,,,,,,,,,,,,,,,
EMAIL_SIGNATURE,Any email will sent from transoport@moveinsync.com signature is showing tranpsort Team,Default Signature: Transport team,Default email signature for all mails sent from transport@moveinsync.com,,Default E-mail Signature of the Transport Department,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Employee Management,,,,,,,,,,,,,,,,,,,,,,,,,
ENABLE_REPORTING_MANAGER,Eanble feature reporting manager option,,Enable Reporting Manager(RM) for employees,"Enable Reporting Manager would mean that if a Team Manager/SPOC is not avaibale against a team, then all emails would be triggered to the RM for that respective team.","Enable Reporting Manager would mean that if a Team Manager/SPOC is not avaibale against a team, then all emails would be triggered to the RM for that respective team.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
General,,,,,,,,,,,,,,,,,,,,,,,,,
FEATURE_SERVER_REQUEST_LOGGING,"Before enabling this , set correct email id in property:- UI_CRASH_MAIL",,"Engineering property for server logging.Before enabling this , set correct email id in property:- UI_CRASH_MAIL",Only for Backend Team,Only for Backend Team,,,,,,,,,,,,,,,,,,,,
TEXT_SHOWN_FOR_HIDDEN_INFO_TO_VENDORS,"Any data we have hidden in the vendor login page text will showing ""XXXXXXX""",,Hidden sensitive data to vendors will be displayed as XXXX,"We can hide phone numbers and address of employees from the vendors which is controlled by separate properties, since we can't hide the filed, texts would be shown like this.","We can hide phone numbers and address of employees from the vendors which is controlled by separate properties, since we can't hide the filed, texts would be shown like xxxxxxx",,,,,,,,,,,,,,,,,,,,
SITE_NAME,Site name will come email subject line,,Email communications will have the mentioned site name in the Subject line,,Email communications will have the mentioned site name in the Subject line,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Mobile App,,,,,,,,,,,,,,,,,,,,,,,,,
API_TRIP_EXPIRY_BUFFER_TIME_MIN,Trip expiry buffer time,,Trip expiry buffer time in minutes,"This property controls the Trip Expiry from the device, i.e, it would be removed from the driver screen and the Trip Status would be changed to Trip Expired","This property controls the Trip Expiry from the device, i.e, it would be removed from the driver screen and the Trip Status would be changed to Trip Expired",,,,,,,,,,,,,,,,,,,,
API_EMPLOYEE_TRACKING_ENABLED,Featrue enable employee login,,To enable tracking in employee app,,Helps employee to Track Vehicle on Mobile App,,,,,,,,,,,,,,,,,,,,
DEFAULT_NEW_EMPLOYEE_CREATE_MOBILE_APP,New employee createing in mobile App,,Allows employee to REGISTER FOR THE MOBILE APP WHEN A NEW EMPLOYEE PROFILE IS CREATED,,Allow Registeration of Employee on the Mobile App once Profile is Created,,,,,,,,,,,,,,,,,,,,
FEATURE_EMPLOYEE_NOTIFICATION_ENABLED,Enable feature employee App notification,,Push notifications on mobile app will be enabled,,Enables all the Notification pushed on the Mobile App(Employee),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Reports,,,,,,,,,,,,,,,,,,,,,,,,,
ROUTE_SERVICE_TIME_LOGOUT_MINUTES,Feature configure the logout buffer time value,,"Logout buffer timings(Will be mentioned in SMS, mobile app, email, notifications, schedules)","This property defines the difference between Shift Time and Cab moving time, i.e. if logout is 1200 and the time mentioned here is 15, so employees would see 1215 as their Logout Departure Time. This is also the property to determine OTD (On Time Deperature) for the respective shifts.","This property gives buffer time for the logout shift. Eg: if logout is 12:00 and the time mentioned here is 15, so employees would see 12:15 as their Logout Departure Time. This is also the property to determine OTD (On Time Deperature) for the respective shifts.",,,,,,,,,,,,,,,,,,,,
FEATURE_SCHEDULE_CHANGE_REPORT_ENABLED,Enable feature schedule change repoert option,,Any schedule changes for an employee will be logged and available in the respective report,,Any changes in the employee schedule will be saved and available in the schedule change report.,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Routing,,,,,,,,,,,,,,,,,,,,,,,,,
ROUTING_SLAB_RANGE,,,"The number of iterations of routing algorithms based on the count of employees
(Please contact routing team)",Only for Backend Team,Back End Team,,,,,,,,,,,,,,,,,,,,
FEATURE_EMPLOYEE_TIME_AUTO_UPDATE,Enable feature employee pikup time auto update option,,"""If property FEATURE_EMPLOYEE_TIME_AUTO_UPDATE  is un-checked, there will be no change in employee times when any of the following route modification happens.
1. Employee is removed from route
2. Employee is added to a new route
3. Employee is added to an existing route

If property FEATURE_EMPLOYEE_TIME_AUTO_UPDATE is checked, employee times will be automatically updated based on speed calculated using their previous times and distances.
Note: Time is calculated on the configured shift speed.""
",,"""If property FEATURE_EMPLOYEE_TIME_AUTO_UPDATE  is un-checked, there will be no change in employee times when any of the following route modification happens.
1. Employee is removed from route
2. Employee is added to a new route
3. Employee is added to an existing route

If property FEATURE_EMPLOYEE_TIME_AUTO_UPDATE is checked, employee times will be automatically updated based on speed calculated using their previous times and distances.
Note: Time is calculated on the configured shift speed.""
",,,,,,,,,,,,,,,,,,,,
ROUTE_SERVICE_TIME_LOGIN_MINUTES,Update the login buffer time,,"Login buffer timings(Will be mentioned in SMS, mobile app, email, notifications, schedules) Note: Not to be confused with Trip Grace timings","This property defines the difference between Shift Time and Cab Arrival time, i.e. if login is 1200 and the time mentioned here is 15, so employees would see 1145 as their Office Reaching Time. This is also the property to determine OTA (On Time Arrival) for the respective shifts.","This property defines the difference between Shift Time and Cab Arrival time, i.e. if login is 1200 and the time mentioned here is 15, so employees would see 1145 as their Office Reaching Time. This is also the property to determine OTA (On Time Arrival) for the respective shifts.",,,,,,,,,,,,,,,,,,,,
FEATURE_BATCH_ROUTE_UPDATE_ENABLED,,,,Only for Backend Team,Only for Backend Team,,,,,,,,,,,,,,,,,,,,
FEATURE_RELOAD_MAP_PERIODICALLY,,,,Only for Backend Team,Only for Backend Team,,,,,,,,,,,,,,,,,,,,
FEATURE_INTER_SHIFT_ROUTE_COPY,Feature to allow route copy from a login shift to log out shift,,Will enable copying routes from a login shift to a logout shift,,It will copy the same login shift routes to Logout shifts.,,,,,,,,,,,,,,,,,,,,
FEATURE_COPY_ROUTES_ENABLED,Feature to allow route copy from a Previous day respective shift,,Copies the respective shift routes from the previous day,,"If enable, it will allow the copying of routes from the previous Days.",,,,,,,,,,,,,,,,,,,,
ROUTING_NEARBY_ROUTE_DISTANCE_METRES,Route Editor - Show all cabs/empty cabs within this radius,,Cabs without duties/empty cabs search radius,Only for Backend Team,Only for Backend Team,,,,,,,,,,,,,,,,,,,,
FEATURE_CONVERT_SHUTTLE_TO_CAB,Feature convert to shuttle to cab route,,Enables feature to Convert all shuttle routes to cab routes,,Allow conversion of Shuttle routes to Cab routes ,,,,,,,,,,,,,,,,,,,,
ROUTING_CALCULATE_DISTANCE_PAIRS,,,Routing quality(Do not modify without PM or routing team approval),Only for Backend Team,Only for Backend Team,,,,,,,,,,,,,,,,,,,,
FEATURE_NODAL_POINT_ENABLED,Whether to show nodal points,,Nodal points(Pickup points) for employees,,It will enable Nodal Point Option for Employees,,,,,,,,,,,,,,,,,,,,
COPY_ROUTE_TEXT,Copy route text name,,,,"We can give any text name for ""Copy Route"" on ETS.",,,,,,,,,,,,,,,,,,,,
FEATURE_ENABLE_BULK_ROUTE_EDIT,Feature enable done the routing will downloading option,,Enabling this feature will allow downloading and uploading of routes in bulk(Excel),,In order to download the Excel from Manager Route section we need to enable this property,,,,,,,,,,,,,,,,,,,,
ROUTING_DEFAULT_SHIFT_SPEED_KM_HR,Employees in newly created routes have the employee pick time based on this value,,Employees in newly created routes have the employee pick time based on this value,,Employee routes will show the pickup time based on the shift speed configured for the shift,,,,,,,,,,,,,,,,,,,,
FEATURE_ENABLE_BULK_ROUTE_UPLOAD,Featue eanble bulk route upload option,,Enables admin/transport team to bulk upload routes through excel template,,Enables admin/transport team to bulk upload routes through excel template,,,,,,,,,,,,,,,,,,,,
EMPLOYEE_SPECIAL_NEED_FEATURE_ENABLED,Enable feature SPLN option,,To mark or distinguish any employee as a Special need/Medical cab,,It will enable Special Need feature on Employee Profile,,,,,,,,,,,,,,,,,,,,
ROUTING_NEARBY_GEOCORD_DISTANCE_METRES,Route Editor - the distance of employees for whom we have to show only one marker,,Routing distance radius ,Only for Backend Team,Only for Backend Team,,,,,,,,,,,,,,,,,,,,
FEATURE_DRAG_DROP_ROUTE_EDITOR,Drag and drop feature on route editor page,,Enable drag and drop routes in New route editor page,Activates the Drag & Drop feature of Employees from One route to the other in the map page.,Activates the Drag & Drop feature of Employees from One route to the other in the map page. Note: New Route Editor only,,,,,,,,,,,,,,,,,,,,
INTERSHIFT_COPY_ROUTE_TEXT,Inter shift copy route text name,,Inter shift copy route text name,,"We can give any text name for ""Inter shift copy"" on ETS.",,,,,,,,,,,,,,,,,,,,
ROUTING_EMPLOYEE_SERVICE_TIME_MIN,Service time added to the pickup of each employee for newly created route,,Waiting time for each employee at pickup point,"Case:

Employee Planned Pick Up time: 07:35 but Boarded at 07:41

Driver Report Time: 07:38

Employee delay reported with Boarding delay as 3mins.


The driver reported within the Planned pickup+3mins=07:38.

The employee boarded 3 mins late and the cab reached the office late. Hence employee delay. This would be applicable only for 1st Employee and not for all.",Waiting time for each employee at pickup point,,,,,,,,,,,,,,,,,,,,
UPDATE_ROUTE_PICK_UP_TIME_USING_GOGLE_API,Update pickup time text name,,Auomatic pickup timing based on google api(based on traffic confitions for each day),For Backend team only,For Backend team only,,,,,,,,,,,,,,,,,,,,
GEOCORD_LIES_IN_OFFICE_RADIUS_IN_METERS,Update the value of office geo-code radius meter,,Office proximity radius,Defines the radius of Auto Sign-Off when cab reaches the office with a login trip,Defines the radius of Auto Sign-Off when cab reaches the office with a login trip,,,,,,,,,,,,,,,,,,,,
ROUTE_GENERATION_TEXT,Generate route text name,,,For Backend team only,"We can give any text name for ""Generate Routes"" on ETS.",,,,,,,,,,,,,,,,,,,,
FEATURE_ZONE_BASED_AFFINITY_CAB_CONSTRAINT_CHECK_ENABLED,,,Routing parameter(Please check with routing team before modification),For Backend team only,For Backend team only,,,,,,,,,,,,,,,,,,,,
FEATURE_GENERATE_ROUTES_ENABLED,Enable feature generate route option,,Generate routes option enabled and routes will be generated as per routing schema ,For Backend team only,Routes will be Generated as per the routing schema defined by client,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SMS,,,,,,,,,,,,,,,,,,,,,,,,,
SHUTTLE_PICKUP_SMS,Update the shuttle pikcup SMS formate,,SMS template for shuttle pickup,,SMS template for shuttle pickup,,,,,,,,,,,,,,,,,,,,
GEOFENCE_HOME_RADIUS_METRES,On crossing this distance the proximity SMS is triggered. One can set different value for home pickup and nodal point pickup,,On crossing this distance the proximity SMS is triggered. One can set different value for home pickup and nodal point pickup,"Defines the radius from Employee Home to a defined radius,",We can define the radius for sending proximity SMS to the employee. Eg: Cab is 2 KM away from your destination.,,,,,,,,,,,,,,,,,,,,
PICKUP_SMS_TEMPLATE,The template to be used for pickup sms,,The template to be used for pickup sms,"To be configured as per the preset defined paramters, SE ticket to be raised.","To be configured as per the preset defined paramters, SE ticket to be raised.",,,,,,,,,,,,,,,,,,,,
USE_DISTANCE_PROXIMITY_SMS_TEMPLATE,enable custom proximity sms template,,SMS template for PROXIMITY SMS,"Once the cab reachis the defined radius, the employees are notified through an SMS called the Proximity SMS about their cab location. SMS template is predefined","Once the cab reaches the defined radius, the employees are notified through an SMS called the Proximity SMS about their cab location. SMS template is predefined",,,,,,,,,,,,,,,,,,,,
GEOFENCE_SMS_TO_EMPLOYEES,Whether proximity SMS is enabled,,Enable or disable proximity SMS alerts,,Enable or disable proximity SMS alerts,,,,,,,,,,,,,,,,,,,,
SECURITY_CONTACT_NUMBER,Update the security contact number,,Security desk contact number,"If this number is configured then a 4th option in IVR can be enabled and calls would land at the Security Desk, raise an SE to configure the 4th option.","If this number is configured then a 4th option in IVR can be enabled and calls would land at the Security Desk, raise an SE to configure the 4th option.",,,,,,,,,,,,,,,,,,,,
GEOFENCE_NODAL_RADIUS_METRES,Update the value of nodal point proximity SMS readius,,Nodal point proximity,,Proximity SMS Trigger Distance in Meter for Nodal Point Pickup,,,,,,,,,,,,,,,,,,,,
PICKUP_SMS_TEMPLATE_SECONDCUTOFF,Pikcup SMS template of second cut off,,SMS template for 2 cutoff(PICKUP),,"The Cut-off time SMS will be sent only to the employees for whom the Cab details, time has changed.
",,,,,,,,,,,,,,,,,,,,
PICKUPSMS_CAB_CONSTRAINT,"When false, the planned pickup message is sent to employee even when cab is not assigned to tripsheet",,"When false, the planned pickup message is sent to employee even when cab is not assigned to tripsheet",,"If checked, the planned pickup message is sent to employee even when cab is not assigned to tripsheet",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SPOT,,,,,,,,,,,,,,,,,,,,,,,,,
SPOT_MANUAL_CAB_ALLOCATION_FROM_THD,Cab allocation from THD,,SPOT(RENTLZ) cab allocation allowed from THD,,SPOT(RENTLZ) cab allocation allowed from THD,,,,,,,,,,,,,,,,,,,,
CUTOFF_TIME_FOR_VENDOR_ASSIGNMENT_IN_SPOT_BOOKING,Cut off time for vendor assign in the sport booking,,Cutoff timings for vendor to assign a spot booking cab,,Cutoff timings for vendor to assign a spot booking cab,,,,,,,,,,,,,,,,,,,,
SEND_SPOT_NOTIFICATION_EMAIL_TO_REPORTING_MANAGER,Enable feature Send spot booking notification to the reporiting manager,,SPOT bookings notification will be sent to respective reporting manager,,SPOT bookings notification will be sent to respective reporting manager,,,,,,,,,,,,,,,,,,,,
SPOT_VENDOR_EMAIL_SIGNATURE,Update the vendor email singature text,,,,,,,,,,,,,,,,,,,,,,,,
UPCOMING_BOOKINGS_SHOW_FROM_SPOT_BOOKING_ROLES,Updating the rols will show upcoming booking details,,,,,,,,,,,,,,,,,,,,,,,,
SPOT_RESTRICT_MANAGER_APPROVAL_FOR_JOB_TITLES,,,,,,,,,,,,,,,,,,,,,,,,,
OFFICE_SELECTION_REQUIRED_FOR_SPOT_BOOKING,Enable feature office sellection option,,Office selection for all SPOT bookings,,Office selection for all SPOT bookings,,,,,,,,,,,,,,,,,,,,
